sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
1.0,Joyo,To-Contact,Home Storage & Organization,Decor & Home Improvement,Laundry Organization,"Laundry baskets, stools, dustbin & drums",https://www.amazon.in/stores/page/2F44E688-EDB9-49B4-A212-A27377228DA2?ingress=0&visitId=8ee26409-93ec-43ba-a032-17750869796d,,,,,,,,,,,,,,,,,"Company does a diverse set of products like Laundry baskets, stools, dustbin & drums"
2,Rioware,To-Contact,Cookware & Kitchenware,Kitchen,Serveware & Tableware,,https://rioware.in/,,,,,,,,,,,,,,,,,"Company does home storage, drinkware & serveware"
3,Birch & Co,Uncategorized,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Decor & Gifting,"Vases, wall decor, serving trays, coasters, airtight storage containers, dining accessories, gift bags, gift wraps, favour boxes, DIY hamper boxes, goody bags, gifting essentials",https://birchandco.in/pages/about-us,,,,,,,,,,,,,,,,,Company largely does corporate gifting products
4,Soham Houseware,Uncategorized,Uncategorized,Other,,,,,,,,,,,,,,,,,,,,
5,Hazel (Value Retail),To-Contact,Cookware & Kitchenware,Kitchen,Kitchen Tools & Gadgets,"Presure cookers, kitchen tools, cooking pots, frying pans",https://hazelkitchenware.com/,,,,,,,,,,,,,,,,,Company is into cookware & kitchenware
6,Aarogyam India (Cast Iron),Rejected-CH,Cookware & Kitchenware,Kitchen,Cast Iron Cookware,"Cast iron kadai, skillet, tawa, grill pan, appam pan, paniyaram pan, Dutch oven, tadka pan",https://www.aarogyamindia.in/,CH_cookware research(CH TRACKER FILE),,,,,,,,,,,,,,,Product fit,"Based out of Hyderabad. Cast Iron Foundry
Cast iron - cookware, benches and furniture, staircase, drainage covers, iron gates, grills and pole
Ruchika Rathi
+919052227674"
7,Jaipur Rugs,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Handmade rugs, carpets, runners, dhurries, floor coverings",https://www.jaipurrugs.com/in/,Collated Sheet,,,,,,,,,,,,,,,,"very strong global presence, especially us & eu. Collaborrates with high profile designers like Gauri Khan & Matteo Cibic, empowering weavers from rural areas - sustainable, top-tier craftsmanship. Defines Luxury + ESG"
8,Jarsome,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Glass jars, storage containers, spice jars, kitchen storage solutions",-,Collated Sheet,,,,,,,,,,,,,,,,"Not relevant, only dealing with jars and containers"
9,Jasco,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,The company is headquartered in Oklahoma
10,Java,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Coffee mugs, insulated mugs, bottles, tumblers, beverage accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website is not available
11,Jensons,To-Contact,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, curtains, blankets, cushion covers",https://www.amazon.in/stores/page/8D8D63E3-BF93-43D1-9A62-5608DFBCD579?ingress=2&lp_context_asin=B0GFDVCMVK&visitId=98800ac6-9f41-46f5-9de2-30746b7dafb2&store_ref=bl_ast_dp_brandlogo_sto&ref_=ast_bln,Collated Sheet,,,,,,,,,,,,,,,,Stainless steel products
12,Jony,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,"Poor website, products look very basic"
13,Judge,Screened-Out,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Pressure cookers, stainless steel cookware, non-stick cookware, kadai, fry pans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"Brand of prestige, skip because highly established"
14,Judge by Prestige,Screened-Out,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Stainless steel cookware, tri-ply cookware, pressure cookers, fry pans, saucepans, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"While Prestige is Indian, Judge is a UK-based brand (Horwood Homewares)"
15,Jumax Foam,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Mattresses & Bedding,"Foam mattresses, pillows, mattress toppers, cushions, foam sheets",https://www.jumaxfoam.com/,Collated Sheet,,,,,,,,,,,,,,,,
16,Kaahira,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative accessories, candle holders, vases, wall décor, tabletop décor",https://kaahira.com/,Collated Sheet,5 cr,,,,,,,,,,,,,,,Owner - Ajay Kumar Gupta. 40 L - 1.5 cr
17,KAFF Appliances,Screened-Out,Home Appliances,Small Appliances,Major Appliances,"Kitchen chimneys, built-in hobs, ovens, microwave ovens, dishwashers, sinks",https://kaff.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
18,KAI,Screened-Out,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Kitchen knives, chef knives, paring knives, knife sets, sharpening accessories",https://kaiindiaonline.com/collections/shop-all,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. The company operates as a subsidiary of KAI Industries Co. Ltd. - a Japanese Company
19,Kamal,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, blankets, home linen",-,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic. Scale and employee count not available
20,KB Decor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall art, mirrors, decorative panels, wall accessories, home décor",https://kbtexfab.com/,Collated Sheet,,,,,,,,,,,,,,,,
21,KC Fabrics,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtain fabrics, upholstery fabrics, sofa fabrics, furnishing textiles",https://kcfabrics.com/IndexMain.aspx?C=1,Collated Sheet,25-100 cr,,,,,,,,,,,,,,,25-100 cr
22,KCL,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available. products listed on amazon are quite basic. Scale and employee count not available
23,Kejals Furnishing LLP,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, upholstery fabrics, blinds, curtain fabrics, furnishing solutions",https://www.kejals.in/,Collated Sheet,5-25 cr,,,,,,,,,,,,,,,5-25 cr
24,Kent,Screened-Out,Home Appliances,Small Appliances,Water Purifiers,"RO water purifiers, water softeners, air purifiers, vacuum cleaners, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,The company is an established player
25,Kevin Power Solutions,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Fans, room heaters, air coolers, electrical appliances, power solutions",https://kevinpowersolutions.weebly.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers inverters
26,Khatana,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
27,Kiaan,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accents, mirrors, wall décor, sculptures, tabletop décor",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
28,Kimatsu,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, small kitchen appliances",https://www.kimatsu.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. The company offers both kitchen and home appliances including large appliances
29,Kishco,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, kitchen organizers, utility containers, household storage",http://kishco.in/,Collated Sheet,,,,,,,,,,,,,,,,Website & products looks very basic
30,Kitchen Essentials,Screened-Out,Cookware & Kitchenware,Kitchen,Kitchen Tools & Gadgets,"Kitchen tools, utensils, peelers, graters, measuring tools, storage accessories",https://kessentials.com/,Collated Sheet,,,,,,,,,,,,,,,,The company sells stainless steel products. however it has a high scale
31,Kitchen Kraft,Screened-Out,Home Storage & Organization,Kitchen,Modular Kitchen Accessories,"Kitchen organizers, dish racks, cutlery trays, storage solutions, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Product category is not relevant
32,Klotthe,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, duvet covers, pillow covers, curtains, blankets",https://www.klotthe.com/pages/about-us,Collated Sheet,,,,,,,,,,,,,,,,
33,KOHE,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative accessories, lighting, wall décor, mirrors, home accents",-,Collated Sheet,,,,,,,,,,,,,,,,The company is involved only in the sale of knives
34,Kohinoor Electronics,Screened-Out,Home Appliances,Small Appliances,Fans,"Mixer grinders, induction cooktops, electric kettles, fans, home electrical appliances",https://kohinoorelectronics.com/?srsltid=AfmBOoo4LAF4YNXfRLeC0iYeAJXOzNMkTTahmfGgib_Nu0RGyaZr5q3X,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is a retailer of established brands
35,Kombination,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Decorative objects, wall décor, sculptures, planters, home accessories",https://www.kombination.in/,Collated Sheet,5-5 cr,,,,,,,,,,,,,,,1.5-5 cr
36,Kook,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Non-stick cookware, stainless steel cookware, frying pans, kadai, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,Foreign entity
37,KOPA,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Chairs, tables, sofas, storage furniture, home furniture, office furniture",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
38,Kosher,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant
39,L Madanlal Domestic Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, small kitchen appliances","https://www.thecompanycheck.com/company/l-madanlal-domestic-appliances-pvt-ltd/U65993WB1984PTC037302#:~:text=Manufacturer%20of%20pressure%20cookers%20under%20%27Pelican%27%20brand%2C%20established,a%20history%20of%2041%20years%20and%20one%20month.",Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are not relevant and the company has low scale
40,La Opala Diva,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Dinner sets, plates, bowls, serving dishes, mugs, tableware",-,Collated Sheet,,,,,,,,,,,,,,,,Listed
41,Laplast,Screened-Out,Home Storage & Organization,Kitchen,Kitchen Storage,"Food storage containers, kitchen organizers, buckets, utility products, household plasticware",-,Collated Sheet,,,,,,,,,,,,,,,,Available on amazon but the products are not good and scale is also low
42,Larah by Borosil,Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Opal glass dinner sets, plates, bowls, serving dishes, mugs",-,Collated Sheet,,,,,,,,,,,,,,,,It is a brand under borosil which is a listed company
43,Lazer India,Screened-Out,Home Appliances,Small Appliances,Fans,"Fans, room heaters, irons, electric kettles, small home appliances",https://www.lazerindia.com/?SID=b7hqtaj3ie9tjvp88u86gma8j0,Collated Sheet,,,,,,,,,,,,,,,,Subsidiary of Vardhaman Industries Limited which is a listed company - skipped
44,Le Fabco,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, pillow covers, curtains, home linen",https://www.lefabco.com/,Collated Sheet,,,,,,,,,,,,,,,,
45,Liebherr Appliances India,Screened-Out,Home Appliances,Small Appliances,Major Appliances,"Refrigerators, freezers, wine coolers, refrigeration solutions",https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChsSEwjXvZ7hpsONAxU3F4MDHX7nAKoYACICCAEQABoCc2Y&co=1&gclid=Cj0KCQjwxdXBBhDEARIsAAUkP6hBEMhMR34vGzPLbLFUUg0opA1RhwsWutpi84k0vAo4dmdFRz3TQg8aAsSiEALw_wcB&ohost=www.google.com&cid=CAESVuD26pFwVL5LXjWmkLMX1gtEOQ9jO3DFAWqnUzABr9gfWNjCp73bNe-KbtNCefJVZGhmQUw3B0E9Ir8Vbn4Yz1wsItmlVCFYj1788_d0zhauJ5SNfme0&category=aCrcp_v1_0&sig=AOD64_09gYywXPUMfp2DQSlGuV8HpEKAXA&q&adurl&ved=2ahUKEwikxZnhpsONAxUyzDgGHfAZAwcQ0Qx6BAggEAE,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is headquartered in Germany
46,Lifelong India,Screened-Out,Home Appliances,Small Appliances,Cleaning Appliances,"Air fryers, mixer grinders, induction cooktops, vacuum cleaners, electric kettles, fans",https://www.lifelongindiaonline.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
47,Linen craft,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, duvet covers, pillow covers, quilts",https://www.linencraft.in/,Collated Sheet,,,,,,,,,,,,,,,,Director - Nitin Mohan
48,Linen Studio,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, quilts, cushion covers, curtains, bedding",https://linensstudio.com/,Collated Sheet,5-5 cr,,,,,,,,,,,,,,,1.5-5 cr
49,Link,Screened-Out,Home Appliances,Small Appliances,Home Appliances,"Modular switches, sockets, extension boards, switchgear, electrical accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant (electricial appliances)
50,Livin Blinds,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Roller blinds, zebra blinds, Venetian blinds, Roman blinds, window shades",https://livinblinds.com/,Collated Sheet,5-25 cr,,,,,,,,,,,,,,,5-25 cr
51,Living Basics,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage organizers, laundry baskets, wardrobe organizers, utility products",https://www.livingbasics.in/,Collated Sheet,,,,,,,,,,,,,,,,"Website is good, products are decent"
