sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
542,Hokipo,Onboarded,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Curtains, cushions, bedsheets, rugs, table linen, home décor accessories",https://hokipo.in/,CH Master File - Mainsheet Shortlist_New,"FY25 revenue target: INR 83 Cr (~INR 90 Cr including other entities), PAT: ~INR 13 Cr (15–18% PBT margin, ~₹10 Cr post-tax) | FY26: ~INR 100 Cr | (similar PBT Margins 15-18%)",,,,,,,,,,,,,,,"FY25 revenue target: INR 83 Cr (~INR 90 Cr including other entities), PAT: ~INR 13 Cr (15–18% PBT margin, ~₹10 Cr post-tax). FY26: ~INR 100 Cr. (similar PBT Margins 15-18%)"
798,Allo innoware,In-Conversation,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Tri-ply cookware, stainless steel cookware, fry pans, kadai, cookware sets",https://alloinnoware.com/,Collated Sheet,,,,,,,,,,,,,,,,Good website
479,Clazkit,In-Conversation,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage organizers, kitchen organizers, wardrobe organizers, bathroom accessories, utility products",https://www.amazon.in/Clazkit-Stainless-Chopping-Vegetable-Cutter/dp/B0CG6G6HCB/,CH Master File - Mainsheet Shortlist_New,"⁠Product basket - bakeware, stainless steel chopping board, silicon spatula, plastic containers | (Overall) Manali Digi Commerce Scale: FY25 Rev: 130-140 crs, GM: 5% and PAT%: 2-3% | Expects to close FY26 on 160-170 crs with similar margins | Clazkit FY25 Rev: 20+crs, GM: 20-25% & PAT: 2-3%",,,,,,,,,,,,,,Low profitability,"Kitchen accessories, Storage and Decor
———
-Vishesh Jain is owner of Clazkit - started in 2018
- ⁠Based out of Mumbai
- ⁠Product basket - bakeware, stainless steel chopping board, silicon spatula, plastic containers 
- Dealer distributor set up
- Also the owner of Manali Digi Commerce Pvt Ltd - which acts as an e-commerce distribution platform
- Manali serves as e-commerce partner for 30+ brands (Pidilite, Vipro, Ganesh Kitchenware, Tossaa, etc) 
- Clazkit also sells its products to Manali 
- Manali sells to Amazon(Retail EZ) and Qcomm - B2B 
- (Overall) Manali Digi Commerce Scale: FY25 Rev: 130-140 crs, GM: 5% and PAT%: 2-3% 
- Expects to close FY26 on 160-170 crs with similar margins 
- Clazkit FY25 Rev: 20+crs, GM: 20-25% & PAT: 2-3%"
882,Cutting Edge,In-Conversation,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Kitchen knives, cutting boards, peelers, slicers, kitchen accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Products available on amazon but not good quality and scale is not available
481,Nelcon Industries,In-Conversation,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Pressure cookers, pressure pans, stainless steel cookware, kitchen accessories",https://nelconindustries.com/,CH_cookware research(CH TRACKER FILE),"Data NA on VCC (raised), Traxcn FY25 Rev : 81 cr",,,,,,,,,,,,,,,"Based out of Palghar, Maharashtra
Data NA on VCC (raised), Traxcn FY25 Rev : 81 cr
Products: Steel & Copper Bottles, Steel Flasks, Steel Storage Containers, Oil dispenser & Electrical Kettle
Available on Amazon, Zepto, JIoMart, BigBasket
Through website they only do bulk orders
Promoter: Dhiresh Pravin Parmar (917709785555, dhireshparmar5555@gmail.com) & Disha Dhiresh Parmar (918286180753)"
536,TEX-RO,In-Conversation,Home Storage & Organization,Decor & Home Improvement,Home Organization,"Kitchen organizers, home organisers, jars & containers",https://tex-ro.com/,CH Master File - Mainsheet Shortlist_New,"FY25: Rev - ~27-30crs, EBITDA Margin: 8-10%, PAT Margin: 5%, FY26 expect to close Rev at INR ~37cr, Amazon contributes to 80% of the sale",,,,,,,,,,,,,,,"FY25: Rev - ~27-30crs, EBITDA Margin: 8-10%, PAT Margin: 5%, FY26 expect to close Rev at INR ~37cr, Amazon contributes to 80% of the sale"
522,Vinod Cookware,In-Conversation,Cookware & Kitchenware,Kitchen,Pressure Cookers,"Tri-ply cookware, stainless steel cookware, pressure cookers, kadai, fry pans, cookware sets","https://vinodcookware.com
———
https://vinodsteel.com",CH_Focussed list (CH Tracker File),,,,,,,,,,,,,,,,"In talks - meeting on 10-4-26
———
Established, rejected"
317,YouBee,In-Conversation,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen tools, cookware, storage containers, serving accessories",https://www.amazon.in/YouBee%C2%AE-Kitchen-Container-BPA-Free-Stackable/dp/B09B9VVW7V?th=1,Collated Sheet,,,,,,,,,,,,,,,,"Can explore but didn't find any details of raj enterprise;
youbee brand is available on meesho, amazon, etc.
Didn't find much details about raj enterprise"
532,About Space,To-Contact,Home Storage & Organization,Decor & Home Improvement,Laundry Organization,"Storage racks, organizers, shelves, laundry baskets, kitchen organizers, bathroom organizers, décor accessories",https://www.aboutspace.in/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,,Aneri did not seem interested
728,Asian Aura,To-Contact,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Lighting,"Chandeliers, pendant lights, wall lights, table lamps, ceiling lights",,CH Master File - Décor Oct-30,,,,,,,,,,,,,,,,"Candles, home fragrance & handicrafts"
